=============================================================================================================================================================================================================================================


                               SatNet Scheduler Software                                   

Time: Thu Aug 25 01:53:01 2022
=============================================================================================================================================================================================================================================
                                        Network Setting                                    
Constellation: Self-Defined Satellite Network
Satellite: 120
Plane: 12
Altitude: 880.0
Orbit Inclination: 86.0
=============================================================================================================================================================================================================================================
                                       Parameter Setting                                   
Alpha: 0.7
File: 1000
File Size: [100kb, 1Mb] 
Request: 100000
Duration: 3600
Satellite Storage Space: 100Mb 
Algorithm: Linear
=============================================================================================================================================================================================================================================
                                      Experiment Results                                   
Algorithm Running Time: 1.016557216644287s
Total Scheduling Time: 1.4925125323452562s
=============================================================================================================================================================================================================================================
                                        Content Info                                       
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File Size Of 3 Files In This Experiment: 
717.047169380322   834.6973854142433   870.0908882592851   
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                        File Info                                       
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SatID           FileName        PopRank         Size            ReqProb         ReqTimes        Action          
0               test1.txt       328             717.05          0.000731        73.13           1               
0               test2.txt       937             834.70          0.000351        35.07           1               
0               test3.txt       941             870.09          0.000350        34.97           1               
1               test1.txt       276             717.05          0.000825        82.52           1               
1               test2.txt       141             834.70          0.001321        132.05          1               
1               test3.txt       397             870.09          0.000640        63.98           1               
2               test1.txt       183             717.05          0.001100        110.02          1               
2               test2.txt       929             834.70          0.000353        35.28           1               
2               test3.txt       830             870.09          0.000382        38.18           1               
3               test1.txt       29              717.05          0.003995        399.50          1               
3               test2.txt       377             834.70          0.000663        66.34           1               
3               test3.txt       87              870.09          0.001852        185.15          1               
4               test1.txt       880             717.05          0.000366        36.65           1               
4               test2.txt       365             834.70          0.000679        67.86           1               
4               test3.txt       511             870.09          0.000536        53.62           1               
5               test1.txt       556             717.05          0.000505        50.54           1               
5               test2.txt       911             834.70          0.000358        35.77           1               
5               test3.txt       128             870.09          0.001413        141.30          1               
6               test1.txt       56              717.05          0.002520        252.04          1               
6               test2.txt       995             834.70          0.000336        33.63           1               
6               test3.txt       666             870.09          0.000445        44.54           1               
7               test1.txt       863             717.05          0.000372        37.15           1               
7               test2.txt       85              834.70          0.001882        188.19          1               
7               test3.txt       11              870.09          0.007874        787.44          1               
8               test1.txt       770             717.05          0.000402        40.24           1               
8               test2.txt       685             834.70          0.000437        43.67           1               
8               test3.txt       418             870.09          0.000617        61.71           1               
9               test1.txt       578             717.05          0.000492        49.19           1               
9               test2.txt       2               834.70          0.025970        2597.00         1               
9               test3.txt       497             870.09          0.000547        54.67           1               
10              test1.txt       125             717.05          0.001437        143.67          1               
10              test2.txt       917             834.70          0.000356        35.61           1               
10              test3.txt       71              870.09          0.002135        213.46          1               
11              test1.txt       355             717.05          0.000692        69.19           1               
11              test2.txt       364             834.70          0.000680        67.99           1               
11              test3.txt       619             870.09          0.000469        46.88           1               
12              test1.txt       624             717.05          0.000466        46.62           1               
12              test2.txt       192             834.70          0.001064        106.39          1               
12              test3.txt       439             870.09          0.000596        59.63           1               
13              test1.txt       132             717.05          0.001383        138.29          1               
13              test2.txt       631             834.70          0.000463        46.26           1               
13              test3.txt       418             870.09          0.000617        61.71           1               
14              test1.txt       531             717.05          0.000522        52.19           1               
14              test2.txt       741             834.70          0.000413        41.34           1               
14              test3.txt       869             870.09          0.000370        36.97           1               
15              test1.txt       229             717.05          0.000940        94.04           1               
15              test2.txt       563             834.70          0.000501        50.10           1               
15              test3.txt       73              870.09          0.002093        209.35          1               
16              test1.txt       725             717.05          0.000420        41.97           1               
16              test2.txt       202             834.70          0.001027        102.67          1               
16              test3.txt       413             870.09          0.000622        62.23           1               
17              test1.txt       931             717.05          0.000352        35.23           1               
17              test2.txt       847             834.70          0.000376        37.64           1               
17              test3.txt       679             870.09          0.000439        43.94           1               
18              test1.txt       222             717.05          0.000961        96.11           1               
18              test2.txt       880             834.70          0.000366        36.65           1               
18              test3.txt       886             870.09          0.000365        36.47           1               
19              test1.txt       676             717.05          0.000441        44.08           1               
19              test2.txt       48              834.70          0.002808        280.75          1               
19              test3.txt       113             870.09          0.001542        154.18          1               
20              test1.txt       952             717.05          0.000347        34.69           1               
20              test2.txt       829             834.70          0.000382        38.21           1               
20              test3.txt       837             870.09          0.000380        37.96           1               
21              test1.txt       273             717.05          0.000832        83.15           1               
21              test2.txt       794             834.70          0.000394        39.38           1               
21              test3.txt       642             870.09          0.000457        45.70           1               
22              test1.txt       210             717.05          0.000999        99.92           1               
22              test2.txt       869             834.70          0.000370        36.97           1               
22              test3.txt       471             870.09          0.000568        56.76           1               
23              test1.txt       519             717.05          0.000530        53.04           1               
23              test2.txt       113             834.70          0.001542        154.18          1               
23              test3.txt       25              870.09          0.004432        443.24          1               
24              test1.txt       442             717.05          0.000593        59.35           1               
24              test2.txt       629             834.70          0.000464        46.36           1               
24              test3.txt       778             870.09          0.000399        39.95           1               
25              test1.txt       150             717.05          0.001265        126.45          1               
25              test2.txt       854             834.70          0.000374        37.43           1               
25              test3.txt       551             870.09          0.000509        50.86           1               
26              test1.txt       835             717.05          0.000380        38.02           1               
26              test2.txt       666             834.70          0.000445        44.54           1               
26              test3.txt       891             870.09          0.000363        36.33           1               
27              test1.txt       771             717.05          0.000402        40.20           1               
27              test2.txt       450             834.70          0.000586        58.61           1               
27              test3.txt       741             870.09          0.000413        41.34           1               
28              test1.txt       71              717.05          0.002135        213.46          1               
28              test2.txt       316             834.70          0.000751        75.06           1               
28              test3.txt       565             870.09          0.000500        49.98           1               
29              test1.txt       935             717.05          0.000351        35.13           1               
29              test2.txt       151             834.70          0.001259        125.87          1               
29              test3.txt       400             870.09          0.000636        63.64           1               
30              test1.txt       310             717.05          0.000761        76.07           1               
30              test2.txt       153             834.70          0.001247        124.71          1               
30              test3.txt       185             870.09          0.001092        109.19          1               
31              test1.txt       202             717.05          0.001027        102.67          1               
31              test2.txt       898             834.70          0.000361        36.13           1               
31              test3.txt       376             870.09          0.000665        66.46           1               
32              test1.txt       311             717.05          0.000759        75.90           1               
32              test2.txt       635             834.70          0.000461        46.05           1               
32              test3.txt       793             870.09          0.000394        39.42           1               
33              test1.txt       828             717.05          0.000382        38.24           1               
33              test2.txt       924             834.70          0.000354        35.42           1               
33              test3.txt       883             870.09          0.000366        36.56           1               
34              test1.txt       582             717.05          0.000489        48.95           1               
34              test2.txt       333             834.70          0.000724        72.36           1               
34              test3.txt       345             870.09          0.000706        70.59           1               
35              test1.txt       185             717.05          0.001092        109.19          1               
35              test2.txt       920             834.70          0.000355        35.53           1               
35              test3.txt       718             870.09          0.000423        42.26           1               
36              test1.txt       831             717.05          0.000381        38.15           1               
36              test2.txt       750             834.70          0.000410        40.99           1               
36              test3.txt       845             870.09          0.000377        37.70           1               
37              test1.txt       108             717.05          0.001591        159.15          1               
37              test2.txt       160             834.70          0.001209        120.87          1               
37              test3.txt       768             870.09          0.000403        40.31           1               
38              test1.txt       693             717.05          0.000433        43.32           1               
38              test2.txt       532             834.70          0.000521        52.13           1               
38              test3.txt       41              870.09          0.003135        313.51          1               
39              test1.txt       116             717.05          0.001514        151.38          1               
39              test2.txt       795             834.70          0.000393        39.35           1               
39              test3.txt       912             870.09          0.000357        35.74           1               
40              test1.txt       615             717.05          0.000471        47.10           1               
40              test2.txt       529             834.70          0.000523        52.33           1               
40              test3.txt       456             870.09          0.000581        58.07           1               
41              test1.txt       530             717.05          0.000523        52.26           1               
41              test2.txt       176             834.70          0.001131        113.07          1               
41              test3.txt       120             870.09          0.001478        147.83          1               
42              test1.txt       531             717.05          0.000522        52.19           1               
42              test2.txt       666             834.70          0.000445        44.54           1               
42              test3.txt       235             870.09          0.000924        92.35           1               
43              test1.txt       825             717.05          0.000383        38.34           1               
43              test2.txt       923             834.70          0.000354        35.44           1               
43              test3.txt       997             870.09          0.000336        33.58           1               
44              test1.txt       382             717.05          0.000657        65.73           1               
44              test2.txt       736             834.70          0.000415        41.53           1               
44              test3.txt       606             870.09          0.000476        47.58           1               
45              test1.txt       520             717.05          0.000530        52.97           1               
45              test2.txt       591             834.70          0.000484        48.43           1               
45              test3.txt       389             870.09          0.000649        64.90           1               
46              test1.txt       171             717.05          0.001154        115.37          1               
46              test2.txt       27              834.70          0.004200        419.99          1               
46              test3.txt       752             870.09          0.000409        40.91           1               
47              test1.txt       757             717.05          0.000407        40.72           1               
47              test2.txt       814             834.70          0.000387        38.70           1               
47              test3.txt       469             870.09          0.000569        56.93           1               
48              test1.txt       381             717.05          0.000658        65.85           1               
48              test2.txt       358             834.70          0.000688        68.78           1               
48              test3.txt       957             870.09          0.000346        34.56           1               
49              test1.txt       912             717.05          0.000357        35.74           1               
49              test2.txt       599             834.70          0.000480        47.97           1               
49              test3.txt       153             870.09          0.001247        124.71          1               
50              test1.txt       715             717.05          0.000424        42.38           1               
50              test2.txt       844             834.70          0.000377        37.74           1               
50              test3.txt       720             870.09          0.000422        42.18           1               
51              test1.txt       668             717.05          0.000444        44.45           1               
51              test2.txt       84              834.70          0.001898        189.76          1               
51              test3.txt       574             870.09          0.000494        49.43           1               
52              test1.txt       321             717.05          0.000742        74.24           1               
52              test2.txt       658             834.70          0.000449        44.92           1               
52              test3.txt       500             870.09          0.000544        54.44           1               
53              test1.txt       647             717.05          0.000455        45.45           1               
53              test2.txt       96              834.70          0.001728        172.82          1               
53              test3.txt       923             870.09          0.000354        35.44           1               
54              test1.txt       327             717.05          0.000733        73.28           1               
54              test2.txt       222             834.70          0.000961        96.11           1               
54              test3.txt       264             870.09          0.000851        85.13           1               
55              test1.txt       112             717.05          0.001551        155.15          1               
55              test2.txt       124             834.70          0.001445        144.48          1               
55              test3.txt       371             870.09          0.000671        67.09           1               
56              test1.txt       499             717.05          0.000545        54.52           1               
56              test2.txt       792             834.70          0.000395        39.45           1               
56              test3.txt       108             870.09          0.001591        159.15          1               
57              test1.txt       155             717.05          0.001236        123.58          1               
57              test2.txt       20              834.70          0.005182        518.17          1               
57              test3.txt       988             870.09          0.000338        33.80           1               
58              test1.txt       137             717.05          0.001347        134.74          1               
58              test2.txt       29              834.70          0.003995        399.50          1               
58              test3.txt       835             870.09          0.000380        38.02           1               
59              test1.txt       822             717.05          0.000384        38.44           1               
59              test2.txt       933             834.70          0.000352        35.18           1               
59              test3.txt       126             870.09          0.001429        142.87          1               
60              test1.txt       235             717.05          0.000924        92.35           1               
60              test2.txt       289             834.70          0.000799        79.90           1               
60              test3.txt       822             870.09          0.000384        38.44           1               
61              test1.txt       898             717.05          0.000361        36.13           1               
61              test2.txt       474             834.70          0.000565        56.51           1               
61              test3.txt       183             870.09          0.001100        110.02          1               
62              test1.txt       525             717.05          0.000526        52.61           1               
62              test2.txt       476             834.70          0.000563        56.35           1               
62              test3.txt       564             870.09          0.000500        50.04           1               
63              test1.txt       169             717.05          0.001163        116.32          1               
63              test2.txt       197             834.70          0.001045        104.49          1               
63              test3.txt       633             870.09          0.000462        46.15           1               
64              test1.txt       733             717.05          0.000417        41.65           1               
64              test2.txt       183             834.70          0.001100        110.02          1               
64              test3.txt       467             870.09          0.000571        57.10           1               
65              test1.txt       955             717.05          0.000346        34.61           1               
65              test2.txt       796             834.70          0.000393        39.31           1               
65              test3.txt       864             870.09          0.000371        37.12           1               
66              test1.txt       132             717.05          0.001383        138.29          1               
66              test2.txt       9               834.70          0.009062        906.20          1               
66              test3.txt       953             870.09          0.000347        34.66           1               
67              test1.txt       50              717.05          0.002728        272.84          1               
67              test2.txt       744             834.70          0.000412        41.22           1               
67              test3.txt       1               870.09          0.042188        4218.84         1               
68              test1.txt       999             717.05          0.000335        33.53           1               
68              test2.txt       27              834.70          0.004200        419.99          1               
68              test3.txt       354             870.09          0.000693        69.33           1               
69              test1.txt       73              717.05          0.002093        209.35          1               
69              test2.txt       470             834.70          0.000568        56.85           1               
69              test3.txt       403             870.09          0.000633        63.31           1               
70              test1.txt       837             717.05          0.000380        37.96           1               
70              test2.txt       298             834.70          0.000782        78.21           1               
70              test3.txt       909             870.09          0.000358        35.83           1               
71              test1.txt       5               717.05          0.013675        1367.46         1               
71              test2.txt       6               834.70          0.012036        1203.61         1               
71              test3.txt       690             870.09          0.000435        43.45           1               
72              test1.txt       933             717.05          0.000352        35.18           1               
72              test2.txt       712             834.70          0.000425        42.51           1               
72              test3.txt       37              870.09          0.003369        336.86          1               
73              test1.txt       984             717.05          0.000339        33.89           1               
73              test2.txt       285             834.70          0.000807        80.69           1               
73              test3.txt       419             870.09          0.000616        61.61           1               
74              test1.txt       984             717.05          0.000339        33.89           1               
74              test2.txt       202             834.70          0.001027        102.67          1               
74              test3.txt       140             870.09          0.001327        132.71          1               
75              test1.txt       617             717.05          0.000470        46.99           1               
